genes	logFC	logCPM	LR	PValue	FDR
LINC02073	-0.335918711402572	6.84204388289119	0.541142159994862	0.461959763440465	1
AP000879.2	-0.690022372918879	4.06013524043039	0.540914041957663	0.462054164533876	1
AC107081.2	0.322073482007176	5.59223312088917	0.540867155055665	0.462073571336396	1
AC104109.2	0.280700900980234	6.07234478548599	0.540810731019768	0.462096927340947	1
AL139161.1	0.660647442652909	4.14665804480683	0.540283505077777	0.462315256510402	1
AC104986.2	-0.298031496116302	5.79043709132174	0.540089168735047	0.462395774388895	1
AC092279.1	0.219826718149254	7.45498728392161	0.539873489811264	0.462485161098142	1
AL024474.2	0.63168706161585	3.89206932532908	0.539779248952666	0.462524227233126	1
AC004951.1	0.496829423071521	4.5529539449778	0.539511990040751	0.462635043975995	1
AC015688.6	-0.453807729828954	4.63297624226924	0.539417561637194	0.462674208051551	1
EPB41L4A-DT	0.315699603613402	5.60598110479518	0.539392027059492	0.462684799395741	1
AC073072.1	0.729399373667738	3.94611837045439	0.538808829898347	0.462926805589442	1
AC145207.9	0.485429223566534	4.60625092912464	0.538486039153277	0.463060838992748	1
AP006621.1	0.205598679639743	8.39458653554863	0.538251352171265	0.463158327606117	1
LINC01606	0.678349416266177	4.13210480412327	0.537842180765548	0.463328374995798	1
LINC00514	0.596517747004272	3.9126427988583	0.537509302341906	0.463466789210915	1
AC010148.1	-0.499097341803773	4.4865937935795	0.537419581594534	0.463504107279602	1
LINC00689	-0.68496709460231	4.17626385753241	0.537368071887684	0.463525534173588	1
AL359853.2	0.57206640599118	4.32278631991343	0.537144098959679	0.4636187202977	1
PDXDC2P-NPIPB14P	-0.197990916662887	9.38121133576814	0.536014665436209	0.464089087578806	1
LINC00622	0.598126341834212	4.26283120804246	0.535393489821107	0.46434810880356	1
AL355312.2	-0.326781686797264	5.88078076029358	0.534795387877637	0.46459772674901	1
AC091982.3	-0.213169964303042	7.63991543892836	0.534747773866023	0.46461760767032	1
LINC02325	-0.723944027158909	3.94354761492544	0.534508509038524	0.464717531713254	1
AC106886.2	0.692996539040283	4.13418364485367	0.534147706292845	0.464868278486275	1
AL365209.1	0.731253140610282	4.07996417156594	0.533319802106533	0.46521448006589	1
AL121672.2	-0.432621095167143	4.70644215714855	0.532922674179787	0.465380691810221	1
AP000943.3	0.413927719282595	4.84680626893139	0.532622193532184	0.465506516434324	1
AL603839.1	-0.779075972684793	4.06284658014876	0.531100386756986	0.466144601142812	1
JAZF1-AS1	0.497840016736804	4.49729710664654	0.53105565135359	0.466163379609755	1
AC108488.1	0.226124259832653	7.00393538636527	0.530521200573986	0.466387818357169	1
AL512791.1	0.286677126962915	6.0361479787195	0.530471614435143	0.46640865046924	1
AL121821.1	-0.715707506689599	3.99143526308244	0.529887449823743	0.466654181751691	1
AC138035.1	0.30960914347307	5.68131046559059	0.529619300968641	0.466766957227408	1
ZNF582-AS1	0.277740328529667	6.03795106446275	0.529508601079044	0.466813527062139	1
AL356512.1	0.335121147867729	5.36808548300777	0.529366342489112	0.466873384116748	1
AC108134.2	0.394630769297387	4.96569005103369	0.528982801825116	0.46703482488289	1
AC092811.2	0.636821475524253	3.89462810635986	0.528627738961122	0.467184358498231	1
AC087482.1	-0.198197320279847	9.32939023329865	0.528393017786989	0.467283252740714	1
AL358852.1	0.429599060738071	4.73748529917907	0.527964085548632	0.467464060003577	1
Z73965.1	-0.479506199484742	4.55695412473995	0.527190346899431	0.467790497054744	1
AC020612.3	0.555564316781025	4.31686364454439	0.526934134100724	0.467898672783005	1
LINC02104	0.691062616409155	3.94374199052669	0.526856100046878	0.467931627556225	1
GLIS2-AS1	-0.609525566057476	3.86272003789044	0.526769414937698	0.467968240149268	1
AC007098.1	0.308220028471005	5.69364636334457	0.526656472712574	0.468015949680378	1
AP001094.1	0.69624560196463	4.08204111166356	0.526449860045989	0.468103248089619	1
AL357874.1	0.601184466642672	4.25032252799712	0.526326243533561	0.46815549129667	1
AC021078.1	0.192600005496885	10.8550897566815	0.525884930065686	0.468342077027292	1
AC124312.3	-0.384439435942614	4.98185513442847	0.524566069011847	0.468900399441714	1
AL449403.1	-0.715814191194066	3.94463038033059	0.524191770631393	0.469059048674344	1
LINC01607	0.583338267430315	4.2735606679219	0.524148158071792	0.469077539807012	1
AC002064.3	0.713426653028859	3.94903589764733	0.524137132244773	0.469082214793535	1
AC100791.3	0.503713650391173	4.44378829516441	0.52341331958996	0.469389277768605	1
AC103957.2	-0.614865935834005	3.86630967438162	0.523321897409007	0.469428084797282	1
AC064836.3	0.313842639919624	5.50847121670717	0.522257138188884	0.469880436072914	1
AC092645.1	0.274189919176674	6.12438133981061	0.521962864749057	0.470005578733865	1
AC103760.1	-0.207525856666226	7.74681672146423	0.521958496095667	0.470007436950908	1
AC078960.1	0.694528066432487	3.96913430516961	0.521890862551475	0.470036206548797	1
AC008764.10	0.637823185581189	4.14233176110105	0.521847907556129	0.470054479989786	1
AC005329.3	0.285574712758488	5.97614716419572	0.521776899086163	0.470084690140956	1
LINC01354	-0.250325542784563	6.57261466404833	0.521172778034419	0.470341836607025	1
AC007326.2	-0.749008350639836	3.9769146017156	0.520924566663995	0.470447554455077	1
AC093297.2	0.198099944656419	8.80007653463609	0.52079506624646	0.470502726303814	1
LINC01515	-0.21382959505747	7.36386387801073	0.519811170476679	0.470922242399238	1
AC004824.1	0.400797237808993	4.87513997224332	0.519640291415158	0.470995163766035	1
LINC02292	0.710869150978606	3.9409666086883	0.519292573625268	0.471143606019281	1
AC004233.4	-0.626166067913225	4.14247424604025	0.519234749723509	0.471168298619316	1
AC104109.4	-0.332452902735566	5.31997897050051	0.518880924703005	0.47131943839097	1
AC040160.2	0.687481202965069	4.09762152826816	0.517688224548653	0.471829488961052	1
AC245187.2	-0.65726668118009	3.91607883299568	0.517579298418822	0.471876114954644	1
AC061961.1	0.433265433170438	4.71988775093917	0.516680048105073	0.472261325095487	1
LINC00992	0.609269643033639	4.19708401986053	0.516635472664507	0.472280433015935	1
